id,domain,difficulty,vignette,question,gold_standard_answer,guideline_reference
Q036,D2_Staging_Molecular,Hard,"A 72-year-old male undergoes staging for newly diagnosed NSCLC. PET-CT shows the primary left upper lobe mass (SUVmax 15), ipsilateral mediastinal lymph nodes (stations 5 and 6, SUVmax 6), and an isolated right adrenal lesion (SUVmax 5.5).",How should the adrenal lesion be characterized and what is its impact on staging?,"An isolated adrenal lesion in the setting of new lung cancer diagnosis requires characterization: (1) Adrenal adenomas are common incidental findings; (2) However, with SUVmax 5.5, metastasis cannot be excluded; (3) Adrenal protocol CT or MRI with chemical shift imaging can help differentiate adenoma from metastasis; (4) If imaging is indeterminate, adrenal biopsy (percutaneous) is recommended before assigning M1 status; (5) If confirmed metastasis: stage IVA (oligometastatic). If benign adenoma: stage IIIA (T4N2M0). This distinction dramatically changes treatment: IIIA → potentially curative multimodality therapy; IVA → systemic therapy, though oligometastatic management with local consolidation is an option.",NCCN NSCLC v3.2025 NSCL-3; NSCL-4
Q037,D2_Staging_Molecular,Easy,"A 61-year-old male with newly diagnosed NSCLC has a PET-CT showing a 3cm right lower lobe mass and no evidence of nodal or distant metastasis. Brain MRI is negative.",What is the clinical stage and what additional staging procedure may be needed?,"Clinical stage is cT2aN0M0 (stage IB) based on PET-CT and brain MRI. Additional considerations: (1) For clinical N0 disease, invasive mediastinal staging (EBUS or mediastinoscopy) is recommended for tumors >3cm or centrally located per NCCN guidelines; (2) Since this tumor is exactly 3cm, EBUS is reasonable to confirm N0 status before proceeding to surgery; (3) If confirmed pathologic N0, surgical resection (lobectomy with systematic mediastinal lymph node dissection) is the standard treatment.",NCCN NSCLC v3.2025 NSCL-3
Q038,D2_Staging_Molecular,Medium,"A 59-year-old female with NSCLC adenocarcinoma undergoes NGS. A ROS1 rearrangement (CD74-ROS1 fusion) is identified. The tumor also shows PD-L1 TPS 70%.",What is the clinical significance and first-line treatment?,"ROS1 rearrangement is found in ~1–2% of NSCLC, predominantly in young, never-smoker patients with adenocarcinoma: (1) First-line therapy: crizotinib (Category 1) or entrectinib (Category 1, preferred if CNS disease) are standard options; (2) Repotrectinib has also demonstrated efficacy and is emerging as a first-line option with improved resistance profiles; (3) Despite PD-L1 70%, ROS1-targeted therapy takes priority over immunotherapy; (4) Immunotherapy is NOT recommended first-line for ROS1+ NSCLC due to inferior outcomes and potential toxicity with subsequent TKI therapy; (5) Brain MRI at baseline is essential as ROS1+ NSCLC has high CNS tropism.",NCCN NSCLC v3.2025 ROS1-1
Q039,D2_Staging_Molecular,Hard,"A 55-year-old male with NSCLC undergoes NGS showing an NTRK1 fusion (TPM3-NTRK1) and concurrent KRAS G12C mutation. PD-L1 TPS is 30%.",How should co-occurring NTRK fusion and KRAS mutation be managed?,"True co-occurring NTRK fusion and KRAS G12C is extremely rare and raises the question of whether both are clonal drivers or one is subclonal: (1) NTRK fusions are typically potent drivers—TRK inhibitor therapy (larotrectinib or entrectinib) should be prioritized as first-line given their high response rates and agnostic FDA approval; (2) KRAS G12C may represent a subclonal event; (3) Close monitoring for resistance with potential KRAS-driven escape; (4) If progression on TRK inhibitor, sotorasib or adagrasib may be considered as subsequent therapy targeting the KRAS clone; (5) Repeat molecular profiling at progression is essential; (6) Clinical trial participation is highly encouraged for such rare genomic co-occurrences.",NCCN NSCLC v3.2025 NTRK-1; KRAS-1
Q040,D3_First_Line,Easy,"A 67-year-old male with stage IV NSCLC squamous cell carcinoma. No driver mutations. PD-L1 TPS is 25%. ECOG PS 1. Good renal and hepatic function.",What is the recommended first-line treatment?,"For stage IV squamous NSCLC with PD-L1 <50% and no driver mutations: (1) Pembrolizumab + carboplatin + paclitaxel (or nab-paclitaxel) is the preferred first-line regimen (KEYNOTE-407, Category 1); (2) Treatment: 4 cycles of combination followed by pembrolizumab + nab-paclitaxel maintenance (if nab-paclitaxel used) or pembrolizumab maintenance alone; (3) Nivolumab + ipilimumab + chemotherapy (CheckMate 9LA, 2 cycles chemo) is an alternative; (4) Bevacizumab-containing regimens are NOT recommended for squamous histology due to bleeding risk; (5) Pemetrexed is NOT used in squamous cell carcinoma.",NCCN NSCLC v3.2025 NSCL-17
Q041,D3_First_Line,Easy,"A 59-year-old female with stage IV lung adenocarcinoma, ALK rearrangement positive (EML4-ALK variant 1). ECOG PS 0. No brain metastases. PD-L1 TPS 15%.",What is the preferred first-line therapy?,"First-line alectinib (preferred) based on ALEX trial demonstrating superior PFS vs. crizotinib and excellent CNS activity. Alternatives: (1) Brigatinib (ALTA-1L trial); (2) Lorlatinib (CROWN trial; superior PFS, may be preferred if CNS risk is high); (3) Crizotinib is no longer preferred first-line. Despite PD-L1 expression, immunotherapy is NOT recommended for ALK-positive NSCLC. Brain MRI at baseline is essential even without symptoms, given CNS tropism of ALK+ disease.",NCCN NSCLC v3.2025 ALK-1
Q042,D3_First_Line,Medium,"A 61-year-old male with stage IV lung adenocarcinoma. BRAF V600E mutation positive. PD-L1 TPS 40%. ECOG PS 1. No brain metastases.",What is the optimal first-line approach for BRAF V600E-mutant NSCLC?,"BRAF V600E-mutant NSCLC has a targeted therapy option: (1) Dabrafenib + trametinib (BRAF + MEK inhibitor combination) is approved and a Category 2A first-line recommendation with ORR ~64%; (2) Alternatively, chemo-immunotherapy (platinum/pemetrexed/pembrolizumab) is a reasonable first-line option given PD-L1 40%; (3) The choice between targeted vs. chemo-IO first-line is not definitively established by randomized data—consider patient preference, toxicity profile, and access; (4) Some experts favor chemo-IO first-line and reserve dabrafenib/trametinib for second-line, as chemo-IO data are more robust in this setting; (5) Single-agent vemurafenib is NOT recommended (inferior to combination).",NCCN NSCLC v3.2025 BRAF-1
Q043,D3_First_Line,Medium,"A 63-year-old female with stage IIIA (T2aN2M0) NSCLC adenocarcinoma. PET confirms single-station N2 disease. EGFR/ALK negative. PD-L1 TPS 60%. ECOG PS 0. Good cardiopulmonary reserve.",What is the treatment strategy for this potentially resectable stage IIIA N2 NSCLC?,"Stage IIIA with single-station N2 is a complex scenario with multiple acceptable approaches: (1) Neoadjuvant chemo-immunotherapy → surgery → adjuvant IO: nivolumab + platinum-doublet × 3 cycles → resection → adjuvant nivolumab (CheckMate 77T, KEYNOTE-671); (2) Definitive concurrent chemoradiation → durvalumab consolidation (PACIFIC regimen) if deemed unresectable; (3) Key factors favoring neoadjuvant approach: single-station N2, technically resectable, good PS, good pulmonary function; (4) MDT discussion is essential for borderline resectable N2 disease; (5) Mediastinal re-staging after neoadjuvant therapy guides surgical decision.",NCCN NSCLC v3.2025 NSCL-7; NSCL-8
Q044,D3_First_Line,Hard,"A 58-year-old female with stage IV lung adenocarcinoma with leptomeningeal carcinomatosis confirmed by CSF cytology. EGFR exon 19 deletion positive. ECOG PS 2. Multiple brain parenchymal metastases on MRI.",How should leptomeningeal disease in EGFR-mutant NSCLC be managed?,"Leptomeningeal carcinomatosis in EGFR-mutant NSCLC carries poor prognosis but has treatment options: (1) Osimertinib at standard dose (80mg daily) has CSF penetration and demonstrated activity in leptomeningeal disease (BLOOM study); (2) High-dose osimertinib (160mg daily) has been used in some studies for leptomeningeal disease, though not standard; (3) Intrathecal chemotherapy (methotrexate) may be considered in selected patients; (4) Whole-brain radiation therapy can be considered for parenchymal metastases but has limited efficacy for leptomeningeal disease; (5) Ventriculoperitoneal shunt if symptomatic hydrocephalus; (6) Best supportive care discussion given poor overall prognosis (median OS ~3–11 months); (7) Close monitoring with serial CSF and MRI.",NCCN NSCLC v3.2025 NSCL-M; EGFR-1
Q045,D3_First_Line,Hard,"A 55-year-old male with stage IV NSCLC adenocarcinoma, no driver mutations, PD-L1 TPS 95%. He has pre-existing well-controlled ulcerative colitis on mesalamine. ECOG PS 1.",Is immunotherapy safe for this patient with autoimmune disease?,"Autoimmune disease is a relative (not absolute) contraindication to IO: (1) Pre-existing ulcerative colitis increases risk of severe immune-related colitis with IO, potentially requiring hospitalization, IV steroids, or infliximab; (2) However, retrospective data suggest many patients with mild, well-controlled autoimmune disease can receive IO safely with close monitoring; (3) Given PD-L1 95% and no driver mutations, IO is the most effective treatment option; (4) Recommended approach: pembrolizumab monotherapy (avoid ipilimumab-containing regimens as anti-CTLA4 has higher GI toxicity); (5) Close GI monitoring; low threshold for colonoscopy if diarrhea develops; (6) Coordinate with gastroenterology; (7) Alternative: platinum-based chemotherapy alone if risk is deemed too high, but this sacrifices significant OS benefit.",NCCN NSCLC v3.2025 NSCL-17; NCCN Management of IO Toxicities
Q046,D3_First_Line,Medium,"A 69-year-old male with limited-stage small cell lung cancer (LS-SCLC), stage IIA equivalent (T2N0M0), confirmed by PET-CT and brain MRI. ECOG PS 0.",What is the treatment approach for this very early-stage SCLC?,"Very early-stage SCLC (T1-2N0M0) is uncommon but has a unique management approach: (1) Surgical resection (lobectomy with mediastinal lymph node dissection) is recommended for clinical stage I SCLC; (2) Adjuvant cisplatin/etoposide chemotherapy × 4 cycles after surgery; (3) If pathologic lymph node involvement is found, adjuvant concurrent chemoradiation should be considered; (4) Prophylactic cranial irradiation (PCI) should be discussed, though its role in surgically resected early-stage SCLC is debated; (5) If patient refuses or is unfit for surgery, concurrent chemoradiation is the alternative. This patient's excellent PS supports surgical approach.",NCCN SCLC v2.2025 SCL-2; SCL-3
Q047,D3_First_Line,Hard,"A 44-year-old female with stage IV lung adenocarcinoma. RET rearrangement (KIF5B-RET) identified. She is currently 10 weeks pregnant. ECOG PS 1.",How should RET-positive NSCLC be managed during pregnancy?,"This is an extremely challenging scenario requiring multidisciplinary input including maternal-fetal medicine: (1) Selpercatinib and pralsetinib (RET inhibitors) are teratogenic—contraindicated during pregnancy; (2) If treatment cannot be delayed, platinum-based chemotherapy (cisplatin or carboplatin) can be administered in the second/third trimester with relative safety (carboplatin/paclitaxel most data); (3) Chemotherapy in first trimester carries highest teratogenic risk—delay until second trimester if possible; (4) Discuss with patient: treatment delay vs. therapeutic abortion vs. modified chemotherapy; (5) If patient elects to delay treatment, close surveillance with imaging; (6) Post-delivery: initiate selpercatinib (preferred) or pralsetinib immediately; (7) Breastfeeding is contraindicated during RET inhibitor therapy.",NCCN NSCLC v3.2025 RET-1; ASCO Guidelines on Cancer During Pregnancy
Q048,D4_Subsequent_Resistance,Easy,"A 70-year-old male with stage IV NSCLC adenocarcinoma progresses after first-line carboplatin/pemetrexed/pembrolizumab and pemetrexed/pembrolizumab maintenance (12 months). No driver mutations. PD-L1 TPS was 30%. ECOG PS 1.",What is the standard second-line therapy?,"Standard second-line options after progression on first-line chemo-IO: (1) Docetaxel is the backbone second-line agent; (2) Docetaxel + ramucirumab (REVEL trial) is preferred if the patient can tolerate it—modest OS benefit over docetaxel alone; (3) Docetaxel + nintedanib is an alternative for adenocarcinoma; (4) Immunotherapy rechallenge is NOT recommended given recent IO exposure; (5) If not previously tested, ensure comprehensive molecular profiling is complete for any newly actionable targets; (6) Clinical trial enrollment should be offered.",NCCN NSCLC v3.2025 NSCL-20
Q049,D4_Subsequent_Resistance,Easy,"A 63-year-old female with stage IV NSCLC, KRAS G12C mutation, progresses after first-line carboplatin/pemetrexed/pembrolizumab. ECOG PS 1.",What targeted therapy option is available for this patient?,"KRAS G12C-targeted therapy in the second-line setting: (1) Sotorasib 960mg daily (CodeBreaK 200, ORR ~28%, Category 1) or adagrasib 600mg BID (KRYSTAL-1, ORR ~43%, Category 2A) are both approved options; (2) Both are oral agents with manageable toxicity profiles; (3) Sotorasib has PFS benefit vs. docetaxel in phase III; (4) Choice between agents depends on availability, toxicity profile, and patient preference; (5) Common side effects: GI toxicity, liver enzyme elevations; (6) Ongoing combinations (sotorasib + chemo or IO) are in trials but not yet standard.",NCCN NSCLC v3.2025 KRAS-1
Q050,D4_Subsequent_Resistance,Medium,"A 57-year-old male on first-line osimertinib for EGFR L858R stage IV NSCLC develops isolated progression in a single right adrenal metastasis at month 20. All other sites remain controlled. Brain MRI is negative. ECOG PS 0.",How should oligoprogression on osimertinib be managed?,"Oligoprogression (limited sites of progression with overall disease control) has a specific management strategy: (1) Continue osimertinib—systemic control is maintained at most sites; (2) Local ablative therapy to the progressing adrenal metastasis: stereotactic body radiation therapy (SBRT) or adrenalectomy; (3) SBRT is generally preferred for adrenal metastases due to lower morbidity; (4) After local treatment, continue osimertinib until systemic progression; (5) Repeat molecular profiling (liquid biopsy) to identify emerging resistance mechanisms; (6) This strategy is supported by retrospective data showing prolonged PFS with local consolidation in oligoprogressive driver-mutant NSCLC.",NCCN NSCLC v3.2025 NSCL-22; Expert consensus
Q051,D4_Subsequent_Resistance,Medium,"A 65-year-old female with stage IV NSCLC (no driver mutations, PD-L1 TPS 5%) received first-line chemo-IO and then second-line docetaxel. She has now progressed on docetaxel. ECOG PS 1.",What third-line options are available?,"Third-line and beyond options are limited but include: (1) Re-evaluate for any missed actionable molecular targets (repeat comprehensive genomic profiling if not recently done); (2) If HER2 mutation present: trastuzumab deruxtecan (T-DXd); (3) Clinical trial enrollment is strongly encouraged; (4) Gemcitabine, vinorelbine, or paclitaxel as single-agent chemotherapy options; (5) Re-challenge with immunotherapy may be considered if >6 months since last IO and no prior severe irAE; (6) Best supportive care should be discussed; (7) For selected patients: consideration of antibody-drug conjugates (ADCs) in clinical trials.",NCCN NSCLC v3.2025 NSCL-20; NSCL-H
Q052,D4_Subsequent_Resistance,Hard,"A 59-year-old female with EGFR exon 19 del stage IV NSCLC. She progressed on first-line osimertinib (18 months), then platinum/pemetrexed (6 months). Liquid biopsy at second progression shows EGFR C797S in cis with the original exon 19 deletion. No other actionable targets. ECOG PS 1.",What treatment options exist for C797S resistance in the cis configuration?,"EGFR C797S in cis (on the same allele as exon 19del) is one of the most challenging resistance scenarios: (1) No currently approved TKI is effective against C797S in cis—first-gen TKIs cannot overcome this, and osimertinib is blocked by C797S; (2) Combination strategies under investigation: first-gen EGFR TKI + osimertinib may work for C797S in trans but NOT in cis; (3) Current options: (a) platinum-based chemotherapy if not yet exhausted; (b) amivantamab + lazertinib (MARIPOSA data); (c) clinical trials targeting C797S (fourth-generation EGFR TKIs in development); (4) Antibody-drug conjugates: patritumab deruxtecan (HER3-DXd) has shown activity post-osimertinib; (5) Bispecific antibodies + chemo combinations are emerging. Clinical trial enrollment is the highest priority.",NCCN NSCLC v3.2025 EGFR-4; Emerging data
Q053,D4_Subsequent_Resistance,Hard,"A 62-year-old male with ALK-rearranged NSCLC has sequentially failed alectinib (24 months) and lorlatinib (14 months). Repeat biopsy shows retained ALK rearrangement with compound ALK resistance mutations (G1202R + L1196M). ECOG PS 1.",What options remain after failure of second-generation and third-generation ALK TKIs?,"Post-alectinib and post-lorlatinib ALK+ NSCLC with compound mutations is at the frontier of treatment: (1) Compound ALK mutations (G1202R + L1196M) are difficult to target with available TKIs; (2) Platinum-based chemotherapy ± pembrolizumab is the standard systemic option (though IO benefit in ALK+ is debated); (3) Clinical trials are the highest priority: (a) fourth-generation ALK inhibitors; (b) ALK-targeted ADCs; (c) novel combination approaches; (4) Consider re-biopsy for histologic transformation; (5) Some compound mutations may retain partial sensitivity to specific TKIs—in silico modeling and institutional molecular tumor board can guide selection; (6) Palliative care integration is important given diminishing treatment options.",NCCN NSCLC v3.2025 ALK-2; Expert consensus
Q054,D4_Subsequent_Resistance,Medium,"A 68-year-old male with stage IV NSCLC on pembrolizumab maintenance (started after first-line pembrolizumab monotherapy for PD-L1 ≥50%). At month 24, restaging shows complete response sustained for 12 months.",Should pembrolizumab be continued indefinitely or can it be stopped?,"The duration of immunotherapy maintenance is an important clinical question: (1) KEYNOTE-024 protocol allowed up to 35 cycles (~2 years) of pembrolizumab; (2) Stopping pembrolizumab at 2 years in patients with sustained response is a reasonable and commonly practiced approach; (3) KEYNOTE-024 long-term data show durable responses after IO discontinuation in many patients; (4) Close surveillance with CT every 3 months after stopping is essential; (5) If disease recurs after stopping, re-challenge with pembrolizumab has shown responses in some patients; (6) There is no randomized evidence directly comparing stopping vs. continuing beyond 2 years; (7) Patient preference and toxicity burden should factor into the decision.",NCCN NSCLC v3.2025 NSCL-17; KEYNOTE-024 5-year data
Q055,D5_Adverse_Events,Easy,"A 55-year-old female receiving atezolizumab for stage IV NSCLC presents with new-onset rash covering 20% BSA, mildly pruritic, maculopapular. No mucosal involvement. She is otherwise well.",How should this immune-related dermatologic toxicity be managed?,"Grade 2 immune-related skin rash (10–30% BSA, moderate symptoms): (1) Continue atezolizumab (may hold if symptomatic); (2) Topical corticosteroids (medium to high potency, e.g., triamcinolone 0.1% cream) to affected areas; (3) Oral antihistamines for pruritus; (4) If no improvement in 1–2 weeks or worsening, consider oral prednisone 0.5–1 mg/kg/day; (5) Dermatology referral if atypical features or refractory; (6) Monitor for progression to Grade 3 (>30% BSA, limiting self-care ADL) which would require holding IO and systemic steroids; (7) Rule out other causes (drug reaction, infection).",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q056,D5_Adverse_Events,Easy,"A 62-year-old male on erlotinib for EGFR-mutant NSCLC develops Grade 2 acneiform rash on face and trunk after 2 weeks of treatment.",How should EGFR TKI-related skin toxicity be managed?,"EGFR TKI acneiform rash is a class effect and often correlates with treatment response: (1) Do NOT stop erlotinib for Grade 1–2 rash; (2) Prophylactic measures: moisturizers, sunscreen, avoid hot water; (3) Treatment: topical clindamycin or erythromycin gel to affected areas; (4) Oral doxycycline 100mg BID as anti-inflammatory (not antibiotic) if topical therapy insufficient; (5) Medium-potency topical corticosteroids for inflammation; (6) If Grade 3 (severe, limiting self-care ADL): dose reduction or temporary hold of erlotinib; (7) Rash typically peaks at weeks 2–4 and may improve with continued therapy. Reassure patient that rash may indicate drug efficacy.",NCCN NSCLC v3.2025; Drug-specific management guidelines
Q057,D5_Adverse_Events,Medium,"A 70-year-old male on pembrolizumab monotherapy for stage IV NSCLC presents with progressive fatigue, nausea, and orthostatic hypotension after cycle 6. Labs show: Na 128 mEq/L, K 5.8 mEq/L, glucose 65 mg/dL, cortisol (AM) 1.2 mcg/dL (normal >10).",What is the likely diagnosis and management?,"This is immune-related adrenal insufficiency (primary adrenal insufficiency/adrenalitis), a rare but life-threatening irAE: (1) Immediate management: hold pembrolizumab; IV hydrocortisone stress dose (100mg bolus then 50mg q8h); IV normal saline for volume resuscitation and hyponatremia; (2) Monitor and correct hyperkalemia; (3) ACTH stimulation test to confirm diagnosis (though should not delay empiric treatment); (4) CT abdomen may show adrenal enlargement; (5) Once stabilized: transition to oral hydrocortisone (15–25mg/day in divided doses) + fludrocortisone (0.05–0.1mg daily) for mineralocorticoid replacement; (6) Unlike most irAEs, adrenal insufficiency is typically permanent—lifelong replacement needed; (7) Pembrolizumab may be cautiously resumed once stable on replacement therapy; (8) Medical alert bracelet and stress dose education.",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q058,D5_Adverse_Events,Medium,"A 58-year-old female on osimertinib for 8 months presents with gradually worsening dyspnea. CT chest shows new bilateral ground-glass opacities. She is afebrile, SpO2 94% on room air. No evidence of tumor progression.",What is the likely diagnosis and how should it be managed?,"Osimertinib-related interstitial lung disease (ILD)/pneumonitis occurs in ~3–4% of patients: (1) Hold osimertinib immediately; (2) Rule out infection (blood cultures, sputum culture, consider BAL), pulmonary embolism (CT angiography if clinically indicated), and cardiac causes; (3) If Grade 2 ILD (symptomatic, limiting instrumental ADL): oral prednisone 1–2 mg/kg/day; (4) If Grade 3–4: hospitalize, IV methylprednisolone 2–4 mg/kg/day; (5) Once ILD resolves, osimertinib should be permanently discontinued for Grade ≥2 ILD; (6) Alternative EGFR TKI (with caution and monitoring) may be considered after full resolution, though cross-reactivity ILD is possible; (7) Pulmonology consultation for ongoing management.",NCCN NSCLC v3.2025; Osimertinib prescribing information
Q059,D5_Adverse_Events,Hard,"A 66-year-old male on nivolumab for stage IV NSCLC develops acute onset severe headache, visual changes, and confusion after cycle 4. MRI brain shows no tumor progression but diffuse leptomeningeal enhancement. CSF shows lymphocytic pleocytosis with negative cytology and negative infectious workup.",What is the likely diagnosis and management?,"This presentation is consistent with immune-related meningitis/encephalitis, a rare but serious neurologic irAE: (1) Permanently discontinue nivolumab; (2) High-dose IV methylprednisolone 1–2g/day for 3–5 days (pulse therapy); (3) Transition to oral prednisone 1–2mg/kg/day after pulse, with slow taper over 8–12 weeks; (4) Neurology consultation is essential; (5) If steroid-refractory: consider IVIG (0.4g/kg/day × 5 days) or plasmapheresis; (6) Continuous neurologic monitoring; seizure precautions; (7) Rule out: leptomeningeal carcinomatosis (repeat CSF cytology, CSF flow cytometry), viral encephalitis (HSV PCR), autoimmune encephalitis panel; (8) Even after resolution, immunotherapy rechallenge is NOT recommended for Grade 3–4 neurologic irAEs.",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q060,D5_Adverse_Events,Hard,"A 60-year-old female on lorlatinib for ALK-rearranged NSCLC develops significant weight gain (8kg in 2 months), fasting triglycerides 450 mg/dL, total cholesterol 320 mg/dL, and fasting glucose 180 mg/dL. She also reports mood changes and cognitive slowing.",How should lorlatinib-related metabolic and CNS side effects be managed?,"Lorlatinib has a unique side effect profile including metabolic and CNS effects: Metabolic: (1) Hyperlipidemia is very common (>50%): initiate statin therapy (atorvastatin or rosuvastatin) and fibrate if triglycerides >500; (2) Hyperglycemia: initiate metformin; consider endocrinology referral if uncontrolled; (3) Weight gain: dietary counseling, exercise; (4) Do NOT stop lorlatinib for Grade 1–2 metabolic effects—manage medically. CNS effects: (1) Cognitive effects and mood changes occur in ~20–30%: assess with neurocognitive testing; (2) For mild-moderate: observe with dose reduction consideration; (3) For severe (Grade 3): hold lorlatinib, resume at lower dose (75mg) after improvement; (4) Psychiatric evaluation if significant mood disturbance; (5) Patient education is critical—warn about these effects at treatment initiation. Monitor: fasting lipids and glucose monthly for first 3 months, then quarterly.",NCCN NSCLC v3.2025 ALK-2; Lorlatinib prescribing information
Q061,D5_Adverse_Events,Medium,"A 72-year-old male receiving carboplatin/pemetrexed/pembrolizumab develops febrile neutropenia (ANC 200/μL, temperature 38.9°C) after cycle 2.",How should this be managed and how does it affect subsequent treatment?,"Febrile neutropenia management: (1) Immediate: blood cultures (peripheral + central line if present), broad-spectrum IV antibiotics (piperacillin-tazobactam or cefepime per institutional protocol); (2) Assess for source: chest X-ray, urinalysis, physical exam; (3) G-CSF (filgrastim or pegfilgrastim) support; (4) For subsequent cycles: (a) dose reduction of carboplatin and/or pemetrexed; (b) prophylactic pegfilgrastim starting from next cycle; (c) consider omitting carboplatin after cycle 2 and continuing pemetrexed + pembrolizumab only; (5) Pembrolizumab does not cause neutropenia—do not dose-reduce or hold IO for this; (6) In elderly patients, primary G-CSF prophylaxis should have been considered from cycle 1 given age >65 on a myelosuppressive regimen.",NCCN NSCLC v3.2025; NCCN Hematopoietic Growth Factors
Q062,D6_Follow_Up,Easy,"A 58-year-old female completed definitive concurrent chemoradiation for stage IIIB NSCLC 6 months ago. She declined durvalumab consolidation. Currently asymptomatic.",What is the appropriate surveillance plan?,"Post-definitive chemoradiation surveillance for stage III NSCLC: (1) CT chest with contrast every 3–6 months for first 3 years, then every 6 months for years 4–5, then annually; (2) Brain MRI every 3–6 months for first 2 years (high risk for brain metastases in stage III); (3) PET-CT is not recommended for routine surveillance but may be used for equivocal findings on CT; (4) Assess for late radiation toxicity: radiation pneumonitis (typically 1–6 months post-RT), esophageal stricture, cardiac toxicity; (5) Pulmonary function monitoring; (6) Smoking cessation support if applicable; (7) Note: since she declined durvalumab, her recurrence risk is higher, supporting the more frequent early surveillance schedule.",NCCN NSCLC v3.2025 NSCL-15
Q063,D6_Follow_Up,Easy,"A 65-year-old male with stage IV NSCLC on first-line pembrolizumab + carboplatin + pemetrexed completed 4 cycles of triplet therapy. Restaging CT shows partial response.",What is the standard maintenance strategy?,"Maintenance after 4 cycles of induction chemo-IO: (1) Continue pembrolizumab + pemetrexed maintenance (per KEYNOTE-189 protocol); (2) Discontinue carboplatin after 4 cycles; (3) Pembrolizumab: continue Q3W or Q6W (400mg) for up to 35 cycles (~2 years); (4) Pemetrexed: continue until progression or unacceptable toxicity; (5) Restaging CT every 6–9 weeks during maintenance; (6) Monitor for cumulative pemetrexed toxicity (renal, hematologic) and immune-related AEs; (7) Continue folic acid and B12 supplementation with pemetrexed.",NCCN NSCLC v3.2025 NSCL-17
Q064,D6_Follow_Up,Medium,"A 50-year-old female with stage IV EGFR-mutant NSCLC on osimertinib for 3 years with sustained complete response. She is experiencing significant psychological distress about living with cancer indefinitely.",How should long-term survivorship concerns be addressed in this patient?,"Long-term survivorship in metastatic NSCLC on continuous TKI requires holistic care: (1) Psycho-oncology referral for anxiety and distress management; (2) Screen for depression, anxiety, and cancer-related PTSD using validated tools (PHQ-9, GAD-7); (3) Continue osimertinib indefinitely—discontinuation is not recommended even with CR; (4) Surveillance: CT every 8–12 weeks, brain MRI every 6 months; (5) Monitor long-term osimertinib effects: QTc prolongation (periodic ECG), cardiomyopathy, ILD; (6) Bone health: DEXA scan given potential osteoporosis; (7) Genetic counseling if early-onset cancer; (8) Fertility/family planning counseling if relevant; (9) Support groups for metastatic lung cancer survivors; (10) Exercise and nutrition programs to maintain QOL.",NCCN NSCLC v3.2025; NCCN Survivorship; NCCN Distress Management
Q065,D6_Follow_Up,Medium,"A 73-year-old male with stage II NSCLC underwent lobectomy 2 years ago. He completed adjuvant chemotherapy and 1 year of adjuvant atezolizumab. He now presents with a new 1.2cm nodule in the contralateral lung on surveillance CT.",How should this new nodule be evaluated and managed?,"New contralateral nodule 2 years after resection has two main differential diagnoses: (1) Metachronous second primary lung cancer; (2) Recurrence/metastasis from original cancer. Workup: (1) PET-CT to assess metabolic activity and evaluate for other sites of disease; (2) Comparison with prior imaging to determine growth rate; (3) If isolated and PET-avid: tissue biopsy to distinguish new primary vs. recurrence (pathologic comparison with original specimen); (4) If new primary: evaluate for surgical resection (repeat pulmonary function tests given prior lobectomy—need adequate reserve for contralateral surgery); (5) If recurrence: systemic therapy approach; (6) MDT discussion essential for treatment planning. Molecular profiling of the new lesion to compare with original tumor helps distinguish primary vs. recurrence.",NCCN NSCLC v3.2025 NSCL-15; NSCL-1
Q066,D6_Follow_Up,Hard,"A 48-year-old female, never-smoker, with stage IA1 (T1aN0M0) NSCLC adenocarcinoma underwent sublobar resection (wedge) due to limited pulmonary reserve from prior lung disease. Margins were negative. She asks about her prognosis and whether adjuvant therapy is needed.",What are the considerations regarding adjuvant therapy and long-term prognosis for sublobar resection of stage IA NSCLC?,"Stage IA1 NSCLC after sublobar resection: (1) Adjuvant chemotherapy is NOT recommended for stage IA; (2) However, sublobar resection (wedge) has higher local recurrence risk compared to lobectomy—CALBG/Alliance 140503 showed non-inferiority of segmentectomy (not wedge) to lobectomy for ≤2cm nodules; (3) Wedge resection is associated with higher recurrence rates than anatomic segmentectomy; (4) Close surveillance is warranted: CT every 6 months for 2 years, then annually; (5) Consider adjuvant radiation to the surgical bed if margins are close (<1cm); (6) 5-year survival for stage IA1 is ~90% after lobectomy, slightly lower after wedge; (7) Given her young age and never-smoker status, assess for germline mutations (consider genetic counseling); (8) Long-term surveillance for second primary cancers.",NCCN NSCLC v3.2025 NSCL-12; NSCL-13
